Material,Dielectric_Constant,Mean_Depth_m,Min_Depth_m,Max_Depth_m
Vacuum,1.0,111.4,73.1,264.2
Porous Ice,2.8,66.6,43.7,157.9
Pure Water Ice,3.1,63.3,41.5,150.1
Basalt (low),4.0,55.7,36.5,132.1
Basalt (mid),5.0,49.8,32.7,118.2
Basalt (high),6.0,45.5,29.8,107.9
