Material,Dielectric_Constant,Mean_Depth_m,Min_Depth_m,Max_Depth_m
Vacuum,1.0,560.9,84.3,1680.7
Porous Ice,2.8,335.2,50.4,1004.4
Pure Water Ice,3.1,318.6,47.9,954.6
Basalt (low),4.0,280.4,42.2,840.4
Basalt (mid),5.0,250.8,37.7,751.6
Basalt (high),6.0,229.0,34.4,686.1
